t,X,X_var,Y,Y_var,Z,Z_var
0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.5555555555555556,0.5979030017584875,0.6131415619554658,0.4888911064765533,0.19131352561127393,0.28968177013612084,0.0936674083177115
1.1111111111111112,0.3596082908749646,0.9732116748832307,0.7585182815530324,0.4471548734646483,0.481941853918827,0.2596276565173055
1.6666666666666667,0.21791974989083637,1.0000000000000002,0.9019352776674388,0.6267357720300708,0.6147119172294643,0.4288484044904545
2.2222222222222223,0.13157088534100245,0.8468008191427514,0.9704430592753727,0.7362736118668998,0.7138157334263179,0.5626341048505135
2.7777777777777777,0.0788074740271216,0.7429324604136316,0.9975676816132549,0.812663536118621,0.7891963232416208,0.6907794150107084
3.3333333333333335,0.04612783689536476,0.6989095070565202,1.0,0.8741976725440678,0.8517779283528562,0.7906991330743735
3.8888888888888893,0.024826824951925397,0.5975886973050689,0.9871838897131064,0.9189354157448942,0.9063558132450396,0.8660498876239225
4.444444444444445,0.00997540290081439,0.5780806116166572,0.9670675765064878,0.9612306354518223,0.955190601165284,0.9358307514572954
5.0,0.0,0.5543839899310447,0.9429519550466648,1.0,1.0000000000000002,1.0
