dose,t,X,X_var,Y,Y_var,Z,Z_var
1.0,0.0,0.9999992605958795,1.0661981047149407e-06,-2.5400212456707616e-05,1.0017771287843596e-06,-2.6520821802740567e-05,9.899169799872477e-07
1.0,0.20833333333333334,0.8494541138872039,0.00022006257429823056,0.09254438548064384,0.0003506336578431701,0.05801467177814601,3.823171444931053e-05
1.0,0.4166666666666667,0.7252187376280907,0.0006062985673231331,0.16727785316906507,0.0010778025452367293,0.107496970859909,0.00014043901545909095
1.0,0.625,0.6226759176378689,0.0009565433823609746,0.22750193308328823,0.001879830775758336,0.1498567492073137,0.00029177013921620487
1.0,0.8333333333333334,0.537847773192779,0.0011980808563378834,0.2757198082173295,0.002636021101558085,0.18634694864458473,0.0004833458217709211
1.0,1.0416666666666667,0.467653898873651,0.0013318957314920306,0.31434424178125436,0.003277631160875174,0.2180046482090983,0.000701049697323032
1.0,1.25,0.40945826710161276,0.0013671217214352455,0.34481561603506183,0.0038097640488579335,0.24569183282427629,0.0009380892837904285
1.0,1.4583333333333335,0.36122603229170835,0.0013370843693135549,0.36884915325710427,0.004222451918929156,0.2699366005650024,0.0011874151413197977
1.0,1.6666666666666667,0.32109269846808697,0.0012739995508983892,0.38741625935669854,0.004553617916648001,0.29140032060790644,0.0014543606359596506
1.0,1.875,0.28777420428255257,0.0011859192945520328,0.40163636044451073,0.004812112431824789,0.310608310336247,0.0017076198139038714
1.0,2.0833333333333335,0.25986302420045365,0.0010888254440267352,0.41223018084792057,0.005024806983500443,0.32791865269476345,0.0019664652056177543
1.0,2.291666666666667,0.23656156738170114,0.0009865681058683449,0.4198813150274303,0.005174301082260784,0.3435684525102981,0.0022210867764515577
1.0,2.5,0.21697251333429032,0.0008902497916613587,0.4251835378711689,0.005306698700281568,0.3578676097895469,0.0024777814150387166
1.0,2.7083333333333335,0.2005586509440623,0.000805881047890213,0.42847481363925516,0.005407110242103229,0.3710143122997063,0.0027142655858647404
1.0,2.916666666666667,0.18662856160047145,0.000726315058484017,0.4301044711939931,0.005503244572564584,0.38325497641142403,0.0029507102436194454
1.0,3.125,0.17489915852583193,0.000655769538143569,0.4304491258240446,0.005583663148865181,0.3946670488460115,0.003172924398403165
1.0,3.3333333333333335,0.16478574370317972,0.0005975964434916091,0.4297866050716373,0.005663416263738801,0.4053823438859414,0.0033819793375517494
1.0,3.541666666666667,0.15631556398367105,0.0005419246801260771,0.428231426246457,0.005727852781731853,0.41543756332850323,0.003596586338501761
1.0,3.75,0.1489080914799626,0.0004936080763681129,0.42593139772793226,0.005781682992766429,0.42506149895584916,0.003788712787974642
1.0,3.9583333333333335,0.14258637261646834,0.0004528867751660707,0.4231834931424687,0.005848432125169855,0.43424836097377734,0.003986456927549959
1.0,4.166666666666667,0.1369538092139801,0.00041744080136178687,0.4199718892984754,0.005900233147650484,0.44299469865042046,0.004164838255526217
1.0,4.375,0.1321641059567593,0.0003867086022361047,0.4163664662853099,0.005959523230808743,0.45145387192569125,0.004336685229070677
1.0,4.583333333333334,0.12789003430940368,0.00035811622585651503,0.4124700422545535,0.0060167144888987265,0.4596634710085552,0.004506176779078139
1.0,4.791666666666667,0.12409402051529947,0.00033192722102812233,0.40828618893488966,0.006079113355193222,0.4675564336959749,0.004666489029196589
1.0,5.0,0.12064829245069353,0.0003115272549396645,0.4040826496244607,0.00613906691555884,0.4752031883006333,0.004832000852261068
3.0416666666666665,0.0,3.0416601211554246,1.0373587632347292e-06,-2.5053838296327976e-05,9.269665041178414e-07,-2.6238364040069e-05,9.73151599024871e-07
3.0416666666666665,0.20833333333333334,2.5837637325385714,0.002013155802893001,0.2814020741436358,0.003247618010238251,0.17655937027926238,0.0003485027143015743
3.0416666666666665,0.4166666666666667,2.205935627779176,0.005610411098273156,0.5087486924479452,0.009971387738541261,0.32695518805409934,0.0012851840382420972
3.0416666666666665,0.625,1.8939608076717331,0.008843525115116737,0.6919029044775871,0.01743580058245125,0.45579084183946267,0.0026866750286513225
3.0416666666666665,0.8333333333333334,1.6359233169687153,0.011086584456963894,0.8389156038721389,0.024403654310682973,0.566841950241857,0.0044391948153733015
3.0416666666666665,1.0416666666666667,1.4223098369243425,0.012260773744984754,0.9561351322876355,0.030322046243465014,0.6631861216212138,0.006463879136118942
3.0416666666666665,1.25,1.2455788141322888,0.01261345290949608,1.04888124762507,0.03515809750132546,0.747182019219956,0.008680037372990985
3.0416666666666665,1.4583333333333335,1.098880544801798,0.01240177404576948,1.1217552053668105,0.039065005114932744,0.8210675368808833,0.010996322990095045
3.0416666666666665,1.6666666666666667,0.976799813892215,0.011805694882179732,1.1784110519351938,0.04212444150307624,0.8865052481877701,0.013374432018153457
3.0416666666666665,1.875,0.8750076293719294,0.010960285992832674,1.2217079214856135,0.04451890694871727,0.9448702360818656,0.015799847265418165
3.0416666666666665,2.0833333333333335,0.7902725626595827,0.010034707725097493,1.2539173557776748,0.046359459210930536,0.9974233441410306,0.01818929286131681
3.0416666666666665,2.291666666666667,0.7195001202819351,0.009125774224902083,1.2771894871335066,0.047859420950780565,1.045059363389366,0.020546962419477174
3.0416666666666665,2.5,0.6600356459170185,0.008250742495565106,1.2931075788752469,0.049098005320588826,1.0884969210779445,0.02285725654217574
3.0416666666666665,2.7083333333333335,0.6099724704402515,0.007468969374001579,1.303103370038454,0.05008982999674052,1.128509464288773,0.025040334211024907
3.0416666666666665,2.916666666666667,0.5677096632153743,0.006718532136218592,1.3082117793023393,0.050925469842099405,1.1656777462737418,0.027217857381140763
