dose,t,X,X_var,Y,Y_var,Z,Z_var
6.5,0.0,6.500024762445665,9.69459136628099e-07,-3.658007496290665e-05,9.859622240603847e-07,-2.3308387011922104e-05,1.0110476941542442e-06
6.5,0.005005005005005005,6.474202615137826,8.928305277984432e-06,0.015994577592720122,1.2302896155077346e-05,0.00981462701059591,2.0343510419913925e-06
6.5,0.01001001001001001,6.448565504730694,3.118247274852384e-05,0.03189026106741194,4.531735267394635e-05,0.019534600316561377,5.03950507415164e-06
6.5,0.015015015015015015,6.4230179494753505,6.782841639734987e-05,0.04769173074109344,0.0001019045137239764,0.029247962673792535,9.488452253304782e-06
6.5,0.02002002002002002,6.397539039531935,0.00012093168449669253,0.06349672299114659,0.00017688244318787573,0.038919196768092204,1.6912358862743717e-05
6.5,0.025025025025025023,6.372269592455164,0.00018320579183280888,0.07907192913331725,0.00027542158929637855,0.04865345656680276,2.5512785810291443e-05
6.5,0.03003003003003003,6.347091359968002,0.0002621772158710937,0.09469431318157695,0.0003885435713040651,0.05826459750330737,3.6579682898860016e-05
6.5,0.035035035035035036,6.321984089014701,0.00035318069142794087,0.11022300424662239,0.0005272437180065322,0.06777397369456294,4.823765150182035e-05
6.5,0.04004004004004004,6.297045448271411,0.00045792315371143876,0.1256558535558161,0.0006886677650565847,0.07729919343262494,6.381130194359605e-05
6.5,0.04504504504504504,6.272212665727672,0.0005742980486770399,0.141026455107037,0.0008632205818917342,0.08681901669462054,8.019779802351036e-05
6.5,0.050050050050050046,6.2474171740673885,0.0007039831164507253,0.15627602791721698,0.00105519912642708,0.09630557388896759,9.88590295320771e-05
6.5,0.055055055055055056,6.222801518759555,0.0008458898158399821,0.1714619553308408,0.0012679734981160774,0.10573940609412645,0.0001183936339603651
6.5,0.06006006006006006,6.1983216153719285,0.0009920604652355464,0.18653286953424766,0.0015001898412058592,0.11509387928322598,0.0001408719226858309
6.5,0.06506506506506507,6.173928732233268,0.0011536991040246782,0.2016131003283027,0.0017494882897634585,0.12442275027661788,0.0001639262361333871
6.5,0.07007007007007007,6.1496778202256435,0.0013295289563585925,0.21658834874045974,0.002013371322603066,0.1337816290005308,0.0001885267935659611
6.5,0.07507507507507508,6.125554245546135,0.0015070382122324472,0.23142577391786018,0.002299956063622111,0.1430624515370359,0.00021606279898659975
6.5,0.08008008008008008,6.1014134143444965,0.0017053358208188873,0.24627719143552945,0.0025967536839331144,0.1523121091192114,0.00024502593043331975
6.5,0.08508508508508508,6.077489365380332,0.0019112378732708839,0.2609757277670481,0.0029102959341411605,0.1615213548808943,0.0002776596113414056
6.5,0.09009009009009009,6.053721276642447,0.0021170527365707305,0.2756616366084341,0.0032454096825691057,0.17068467544713856,0.0003093276756073699
6.5,0.09509509509509509,6.030000032730429,0.0023390758508749806,0.2902636041160091,0.003596033568320324,0.1798316132306905,0.00034447095892490556
6.5,0.10010010010010009,6.006320776617788,0.00257118080589637,0.3047888278289786,0.0039554060728590815,0.1888836234114803,0.000381673239188064
6.5,0.10510510510510511,5.982853628106849,0.0028064101853340533,0.3192537856529403,0.004322248582906752,0.19796644684017736,0.00042050231840791994
6.5,0.11011011011011011,5.959389964248012,0.0030581562773305776,0.33359045963742096,0.0047156192985653815,0.20697438496389853,0.0004591396444237388
6.5,0.11511511511511512,5.936078478726813,0.00330995411791234,0.34794002862568174,0.005126735216749953,0.21598833775365073,0.0005015907808612986
6.5,0.12012012012012012,5.912948743380601,0.0035696104381416635,0.36212592834101154,0.005540728915575384,0.22494959008858872,0.0005435741654441033
6.5,0.12512512512512514,5.8898540334796605,0.003843122572546619,0.3762483610498017,0.005971402386223984,0.2338773808545037,0.0005872788818715413
6.5,0.13013013013013014,5.8669506525988195,0.004118064587855816,0.39038298790691583,0.006422011188349001,0.2427557994827938,0.0006381538069234554
6.5,0.13513513513513514,5.8440620722399546,0.0044016543765894485,0.4043437023037088,0.006875389360816572,0.25164877052589296,0.0006869279232261725
6.5,0.14014014014014015,5.821306999175809,0.004692272399626139,0.41828010350513595,0.007339308255317166,0.2604391470694285,0.0007353493102683759
6.5,0.14514514514514515,5.798619213119526,0.004996555011323743,0.4321709598600585,0.007827316226690488,0.2691467756242071,0.000785452002584293
6.5,0.15015015015015015,5.776075195386833,0.00529498271953903,0.44599500782603935,0.008322413760805367,0.27796200066220833,0.0008378180995081345
6.5,0.15515515515515516,5.753624725436991,0.0056122350740724835,0.45970225555220234,0.008829599154668391,0.28665540213864266,0.0008938308377146989
6.5,0.16016016016016016,5.731295413624069,0.005919440949244711,0.473332479417396,0.009339387268089378,0.29535739449008874,0.0009538646822595917
6.5,0.16516516516516516,5.7090749724039656,0.006238249161507514,0.48696785397342907,0.00987650597954734,0.3040389804310238,0.0010148653891845145
6.5,0.17017017017017017,5.68694735219537,0.006562960702467817,0.5004300076339128,0.010411289903318154,0.3126131439492233,0.0010699772425034452
6.5,0.17517517517517517,5.6648888901707215,0.006891705160427369,0.5139435381230428,0.010958833949521548,0.3211753510632469,0.0011335960249641932
6.5,0.18018018018018017,5.643006649646428,0.007232415877420725,0.5272151437422974,0.011511827604543893,0.32975251331867167,0.0011907797138371796
6.5,0.18518518518518517,5.621190082086976,0.007573738209080329,0.5406041075702512,0.012072293523334103,0.3382126950762477,0.001260717849470073
6.5,0.19019019019019018,5.599392739939296,0.007906905015464821,0.5538338948974076,0.012655299942718622,0.3467420760525405,0.0013264653216474918
6.5,0.19519519519519518,5.577803184082289,0.008262049262066647,0.5670278238553027,0.01325211889099928,0.3551498225113547,0.0013989990952832188
