0 ,0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00
100 ,-4.38974e-02, 7.80735e-03, -9.36271e-02, -6.60108e-02, -4.52963e-02, -8.11553e-03, 5.20119e-02, 4.34435e-02, -5.62231e-02, 8.22299e-02, -5.78278e-02, 1.87573e-02, 8.38966e-02, -1.34288e-01, 2.91875e-02, 6.86574e-03, 8.38826e-03, 6.66320e-03, 4.55677e-03, -4.12439e-03, -5.59446e-05
200 ,-1.26361e-01, 4.66738e-02, -1.46236e-01, -2.24900e-01, -1.29622e-01, -3.76920e-02, 1.40416e-01, 9.84544e-02, -2.31723e-01, 2.80825e-01, -2.27546e-01, 2.89724e-02, 2.57128e-01, -2.93931e-01, 1.22897e-01, 1.02061e-02, 1.82050e-02, 1.50728e-02, -1.38779e-02, 1.62320e-02, 1.11425e-01
300 ,-1.53743e-01, 1.06814e-01, -1.92068e-01, -2.85739e-01, -1.68378e-01, -8.83844e-02, 1.73700e-01, 1.60061e-01, -3.52430e-01, 3.31840e-01, -3.57334e-01, 1.38124e-02, 4.13296e-01, -4.27530e-01, 2.41935e-01, 9.99085e-03, 1.25677e-03, 3.41499e-02, 4.48823e-02, 1.27328e-03, 2.97420e-01
400 ,-1.48636e-01, 1.57215e-01, -2.44202e-01, -2.99182e-01, -1.78611e-01, -1.29059e-01, 1.76485e-01, 1.98768e-01, -3.90328e-01, 3.19554e-01, -4.22010e-01, 9.15697e-03, 4.39581e-01, -5.17392e-01, 2.55157e-01, -1.43145e-03, -5.13714e-03, 4.68008e-02, 5.45339e-02, 1.40816e-02, 3.39922e-01
500 ,-1.43957e-01, 2.01608e-01, -2.91114e-01, -3.14348e-01, -1.87791e-01, -1.69480e-01, 1.78582e-01, 2.30421e-01, -4.20172e-01, 3.12859e-01, -4.83110e-01, 3.66267e-02, 4.44314e-01, -5.84065e-01, 2.60455e-01, -4.27852e-02, 1.64629e-02, 5.32088e-02, 5.08875e-02, 3.00087e-02, 3.67828e-01
600 ,-1.42741e-01, 2.46793e-01, -3.36990e-01, -3.23191e-01, -2.00368e-01, -2.01688e-01, 1.70692e-01, 2.47113e-01, -4.18563e-01, 2.98012e-01, -5.41939e-01, 6.61279e-02, 4.08735e-01, -6.30592e-01, 2.30644e-01, -7.43765e-02, 4.47056e-02, 6.25411e-02, 1.04731e-02, 7.20278e-02, 3.67365e-01
700 ,-1.56949e-01, 2.76415e-01, -3.85853e-01, -3.31097e-01, -2.24207e-01, -2.51111e-01, 1.58029e-01, 2.72561e-01, -4.53269e-01, 2.81294e-01, -6.10488e-01, 5.20933e-02, 3.82897e-01, -6.80313e-01, 2.01226e-01, -9.45674e-02, 3.20192e-02, 7.31966e-02, -1.75831e-02, 7.91814e-02, 3.59297e-01
800 ,-1.69578e-01, 3.10050e-01, -4.28445e-01, -3.33165e-01, -2.43327e-01, -2.85356e-01, 1.46625e-01, 2.70592e-01, -4.64497e-01, 2.77546e-01, -6.33340e-01, 5.24982e-02, 3.60695e-01, -7.07930e-01, 1.86786e-01, -1.03738e-01, 3.18464e-02, 6.85938e-02, -3.71463e-02, 8.30233e-02, 3.52403e-01
900 ,-1.88658e-01, 3.58380e-01, -4.69979e-01, -3.31454e-01, -2.67947e-01, -3.28796e-01, 1.36458e-01, 2.70784e-01, -4.82207e-01, 2.80667e-01, -6.61655e-01, 6.12685e-02, 3.41482e-01, -7.28039e-01, 1.74732e-01, -1.11283e-01, 3.85644e-02, 6.70597e-02, -5.13640e-02, 9.71525e-02, 3.49472e-01
1000 ,-2.22588e-01, 4.20540e-01, -5.15514e-01, -3.18529e-01, -3.02758e-01, -3.87158e-01, 1.13860e-01, 2.77357e-01, -5.23357e-01, 2.59397e-01, -7.08769e-01, 6.56078e-02, 3.13352e-01, -7.38884e-01, 1.55032e-01, -1.14481e-01, 4.38283e-02, 7.25511e-02, -7.59222e-02, 1.15873e-01, 3.38582e-01
1100 ,-2.75553e-01, 4.81501e-01, -5.51167e-01, -3.18931e-01, -3.52595e-01, -4.47732e-01, 8.25561e-02, 2.60582e-01, -5.87218e-01, 2.58371e-01, -7.69208e-01, 9.79713e-02, 2.69877e-01, -7.44110e-01, 1.11555e-01, -1.54311e-01, 5.91552e-02, 7.48713e-02, -1.09139e-01, 1.57037e-01, 3.22457e-01
1200 ,-3.68773e-01, 5.91632e-01, -5.62162e-01, -3.60302e-01, -4.41395e-01, -5.49651e-01, 9.25792e-02, 2.63892e-01, -6.79751e-01, 2.69197e-01, -8.66352e-01, 9.45108e-02, 2.57978e-01, -7.20104e-01, 9.29905e-02, -1.41279e-01, 6.75157e-02, 8.10323e-02, -1.38454e-01, 1.52212e-01, 2.55342e-01
1300 ,-4.11513e-01, 6.08431e-01, -6.07570e-01, -2.98962e-01, -4.86667e-01, -5.59646e-01, 3.41214e-02, 2.80144e-01, -6.86649e-01, 1.95611e-01, -8.91363e-01, 7.98180e-02, 2.26084e-01, -7.33171e-01, 6.49608e-02, -1.25741e-01, 5.36737e-02, 8.66270e-02, -1.37649e-01, 1.57852e-01, 2.54559e-01
